Rank,Player,Age,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Unadjusted,Wins-Unadjusted,WS-Unadjusted,VORP-Unadjusted,Total Games
1,Giannis (1),24,MIL,76.14285714,58.57142857,2,33.5,26.7,12.6,5.9,1.3,1.5,0.579,0.172,0.701,13.86190476,0.261,7.419047619,9.6,39,30,7.1,3.8,42
2,Harden (2),29,HOU,76.14285714,46.85714286,11,37.2,34.2,6.2,8.8,2.1,0.6,0.434,0.378,0.859,13.47142857,0.229,9.371428571,11.2,39,24,6.9,4.8,42
3,Curry (3),30,GSW,61.02325581,55.30232558,4,34.6,29.4,5.2,5.6,1.3,0.4,0.489,0.45,0.917,9.725581395,0.221,4.76744186,7.1,32,29,5.1,2.5,43
4,Kawhi (4),27,TOR,63.77777778,60.13333333,1,34.9,27.5,8,3.2,1.9,0.5,0.503,0.373,0.846,10.93333333,0.238,4.191111111,5.6,35,33,6,2.3,45
5,Jokic (5),23,DEN,82,56.61904762,3,31.4,19.7,10.2,7.5,1.4,0.7,0.506,0.325,0.837,12.3,0.228,7.614285714,9.7,42,29,6.3,3.9,42
6,PG13 (6),28,OKC,80.04761905,50.76190476,7,35.7,26.7,8.1,3.9,2.2,0.5,0.445,0.383,0.826,12.1047619,0.203,5.466666667,5.5,41,26,6.2,2.8,42
7,Embiid (7),24,PHI,76.40909091,52.18181818,6,33.7,26.9,13.3,3.4,0.6,2,0.486,0.297,0.801,10.06363636,0.187,3.354545455,3.1,41,28,5.4,1.8,44
8,LeBron (8),34,LAL,63.36363636,42.86363636,13,34.6,27.3,8.3,7.1,1.3,0.7,0.518,0.356,0.682,9.131818182,0.201,5.590909091,8,34,23,4.9,3,44
9,KD (9),30,GSW,82,55.30232558,4,35.7,28.2,7.3,6.1,0.8,1.1,0.506,0.371,0.911,12.58604651,0.207,4.958139535,4.7,43,29,6.6,2.6,43
10,Davis (10),25,NOP,72.46511628,38.13953488,20,36.9,28.9,13.3,4.4,1.7,2.6,0.512,0.325,0.806,15.06511628,0.27,7.627906977,9.3,38,20,7.9,4,43
