rank,player,label,season_start,age,pos,pos_number,tm,all_star_votes,g,team_games,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ws,ws_per_48,vorp,bpm,offensive_raptor,defensive_raptor
1,Giannis Antetokounmpo,Giannis (1),2019,25,PF,4,MIL,4474107,76.14285714,42,70.28571429,1,3,30.6,11,19.9,0.554,1.7,5.1,0.332,9.3,14.8,0.63,0.596,6.3,10.2,0.621,2.4,10.4,12.7,5.5,1.2,1.1,3.4,3.1,30,33.4,0.616,0.257,0.511,8.1,31.4,20.4,32.6,1.8,3,12.1,37.3,16.4,0.312,9.251282051,12.6,6.5,3.1
2,LeBron James,LeBron (2),2019,35,PG,1,LAL,4474887,78,41,66,2,2,34.9,9.7,19.7,0.491,2.1,6.2,0.346,7.6,13.6,0.557,0.545,3.8,5.5,0.694,1,6.7,7.7,10.9,1.3,0.5,3.7,1.8,25.4,26.5,0.572,0.312,0.281,3.3,20.4,12.1,50.6,1.8,1.3,14.4,31.5,13.66666667,0.23,8.2,9.3,7.5,1.2
3,Luka Doncic,Doncic (3),2019,20,PG,1,DAL,4598323,74,41,52,10,16,32.8,9.4,20.1,0.466,2.8,8.9,0.317,6.5,11.1,0.586,0.537,7.2,9.2,0.786,1.4,8.3,9.8,9,1.1,0.1,4.4,2.4,28.8,29.9,0.597,0.446,0.46,4.7,25.8,15.5,47.9,1.6,0.3,15.3,37.1,14.40540541,0.258,9.52972973,12.1,8.7,-0.8
4,James Harden,Harden (4),2019,30,SG,2,HOU,2934614,79.95,40,53.3,8,4,37.2,10.8,24.2,0.446,5,13.4,0.373,5.8,10.8,0.537,0.549,10.6,12.3,0.86,1.1,5.1,6.2,7.5,1.7,0.9,4.7,3.2,37.2,30.8,0.627,0.554,0.507,3.1,14.1,8.6,35.6,2.1,2.1,13.6,37.8,17.87179487,0.283,9.461538462,10.3,9.8,1.3
5,Jimmy Butler,Butler (5),2019,30,SF,3,MIA,2046257,71.75,40,57.4,4,14,35.1,6,13.5,0.445,0.7,2.7,0.269,5.3,10.8,0.488,0.471,7.8,9.5,0.819,2,5,6.9,6.4,1.9,0.6,2.5,1.3,20.5,23.7,0.58,0.197,0.703,6.6,15,11.1,28.4,2.6,1.6,12.3,25.2,13.58857143,0.226,5.154285714,5.3,4.6,2.7
6,Anthony Davis,AD (6),2019,26,PF,4,LAL,4412619,70,41,66,2,2,35.2,9.4,18.7,0.504,1.1,3.7,0.297,8.3,15.1,0.554,0.533,7.1,8.3,0.859,2.2,7.2,9.4,3.2,1.5,2.6,2.4,2.5,27.1,28.4,0.605,0.195,0.444,7.2,21.7,14.6,14.7,2.1,6.4,9.7,29.9,15.93142857,0.267,6.56,7,1.4,4.5
7,Nikola Jokic,Jokic (7),2019,24,C,5,DEN,889387,82,40,57.4,3,8,31.2,7.4,14.5,0.51,1.4,4,0.338,6.1,10.5,0.576,0.557,3,3.7,0.799,2.3,7.5,9.8,6.4,1,0.6,2.5,3,19.1,24.7,0.593,0.276,0.257,8,26.9,17.4,33.5,1.5,1.6,13.5,26,11.685,0.22,6.355,8,4.2,-0.2
8,Donovan Mitchell,Mitchell (8),2019,23,SG,2,UTA,673917,79.95,40,57.4,5,7,34.5,9,19.6,0.46,2.2,6.1,0.357,6.8,13.5,0.506,0.515,4,4.7,0.847,0.7,3.5,4.3,4.4,1.1,0.3,2.4,2.4,24.2,20,0.558,0.311,0.239,2.4,10.6,6.7,22.6,1.6,0.6,10,30.7,8.2,0.138,2.733333333,1.7,3.6,-1.5
9,Chris Paul,CP3 (9),2019,34,PG,1,OKC,0,82,41,46,13,21,31.9,5.7,12.2,0.47,1.6,4.4,0.361,4.1,7.8,0.531,0.535,3.4,3.8,0.898,0.3,4.7,5,6.5,1.6,0.1,2.1,2.4,16.5,20.6,0.594,0.36,0.314,1.2,15.8,8.7,31.7,2.5,0.3,13,22.1,10,0.183,4,4.1,5,-2.4
10,Kawhi Leonard,Kawhi (10),2019,28,SF,3,LAC,2973076,62,41,56,7,1,32.1,9.3,20.1,0.461,1.9,5.3,0.362,7.4,14.8,0.496,0.508,5.9,6.6,0.888,1.1,6.3,7.4,5,1.9,0.5,3.3,1.9,26.3,25.5,0.572,0.262,0.331,3.5,19.9,11.9,27.1,2.8,1.5,12.5,33.7,10.58064516,0.193,5.290322581,6.1,6.7,-1.4
